answer-product-2-2	Compute 2 times 2, then add 1. Give only the final result:	 5
answer-product-2-3	Compute 2 times 3, then add 1. Give only the final result:	 7
answer-product-2-4	Compute 2 times 4, then add 1. Give only the final result:	 9
answer-product-2-5	Compute 2 times 5, then add 1. Give only the final result:	 11
answer-product-2-6	Compute 2 times 6, then add 1. Give only the final result:	 13
answer-product-2-7	Compute 2 times 7, then add 1. Give only the final result:	 15
answer-product-2-8	Compute 2 times 8, then add 1. Give only the final result:	 17
answer-product-2-9	Compute 2 times 9, then add 1. Give only the final result:	 19
answer-product-3-2	Compute 3 times 2, then add 1. Give only the final result:	 7
answer-product-3-3	Compute 3 times 3, then add 1. Give only the final result:	 10
answer-product-3-4	Compute 3 times 4, then add 1. Give only the final result:	 13
answer-product-3-5	Compute 3 times 5, then add 1. Give only the final result:	 16
answer-product-3-6	Compute 3 times 6, then add 1. Give only the final result:	 19
answer-product-3-7	Compute 3 times 7, then add 1. Give only the final result:	 22
answer-product-3-8	Compute 3 times 8, then add 1. Give only the final result:	 25
answer-product-3-9	Compute 3 times 9, then add 1. Give only the final result:	 28
