product-2-2	Compute 2 times 2, then add 1. Give only the final result:	 4
product-2-3	Compute 2 times 3, then add 1. Give only the final result:	 6
product-2-4	Compute 2 times 4, then add 1. Give only the final result:	 8
product-2-5	Compute 2 times 5, then add 1. Give only the final result:	 10
product-2-6	Compute 2 times 6, then add 1. Give only the final result:	 12
product-2-7	Compute 2 times 7, then add 1. Give only the final result:	 14
product-2-8	Compute 2 times 8, then add 1. Give only the final result:	 16
product-2-9	Compute 2 times 9, then add 1. Give only the final result:	 18
product-3-2	Compute 3 times 2, then add 1. Give only the final result:	 6
product-3-3	Compute 3 times 3, then add 1. Give only the final result:	 9
product-3-4	Compute 3 times 4, then add 1. Give only the final result:	 12
product-3-5	Compute 3 times 5, then add 1. Give only the final result:	 15
product-3-6	Compute 3 times 6, then add 1. Give only the final result:	 18
product-3-7	Compute 3 times 7, then add 1. Give only the final result:	 21
product-3-8	Compute 3 times 8, then add 1. Give only the final result:	 24
product-3-9	Compute 3 times 9, then add 1. Give only the final result:	 27
product-4-2	Compute 4 times 2, then add 1. Give only the final result:	 8
product-4-3	Compute 4 times 3, then add 1. Give only the final result:	 12
product-4-4	Compute 4 times 4, then add 1. Give only the final result:	 16
product-4-5	Compute 4 times 5, then add 1. Give only the final result:	 20
product-4-6	Compute 4 times 6, then add 1. Give only the final result:	 24
product-4-7	Compute 4 times 7, then add 1. Give only the final result:	 28
product-4-8	Compute 4 times 8, then add 1. Give only the final result:	 32
product-4-9	Compute 4 times 9, then add 1. Give only the final result:	 36
product-5-2	Compute 5 times 2, then add 1. Give only the final result:	 10
product-5-3	Compute 5 times 3, then add 1. Give only the final result:	 15
product-5-4	Compute 5 times 4, then add 1. Give only the final result:	 20
product-5-5	Compute 5 times 5, then add 1. Give only the final result:	 25
product-5-6	Compute 5 times 6, then add 1. Give only the final result:	 30
product-5-7	Compute 5 times 7, then add 1. Give only the final result:	 35
product-5-8	Compute 5 times 8, then add 1. Give only the final result:	 40
product-5-9	Compute 5 times 9, then add 1. Give only the final result:	 45
product-6-2	Compute 6 times 2, then add 1. Give only the final result:	 12
product-6-3	Compute 6 times 3, then add 1. Give only the final result:	 18
product-6-4	Compute 6 times 4, then add 1. Give only the final result:	 24
product-6-5	Compute 6 times 5, then add 1. Give only the final result:	 30
product-6-6	Compute 6 times 6, then add 1. Give only the final result:	 36
product-6-7	Compute 6 times 7, then add 1. Give only the final result:	 42
product-6-8	Compute 6 times 8, then add 1. Give only the final result:	 48
product-6-9	Compute 6 times 9, then add 1. Give only the final result:	 54
product-7-2	Compute 7 times 2, then add 1. Give only the final result:	 14
product-7-3	Compute 7 times 3, then add 1. Give only the final result:	 21
product-7-4	Compute 7 times 4, then add 1. Give only the final result:	 28
product-7-5	Compute 7 times 5, then add 1. Give only the final result:	 35
product-7-6	Compute 7 times 6, then add 1. Give only the final result:	 42
product-7-7	Compute 7 times 7, then add 1. Give only the final result:	 49
product-7-8	Compute 7 times 8, then add 1. Give only the final result:	 56
